trial,rhodamine,mount,replicate,conc,protocol,yeast.test,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
1,B,immuno,1,cont,cont,cont,5514.731,0.644,3551.487,71.691739,148.3665637,1,4883.294,0.631,3081.356
1,B,immuno,2,cont,cont,cont,3978.878,0.654,2601.574,190.373932,NA,2,3918.216,0.606,2372.713
1,B,immuno,3,cont,cont,cont,6308.852,0.644,4062.978,183.03402,NA,3,4789.544,0.615,2946.245
1,B,fluoro,1,cont,cont,cont,3918.216,0.652,2554.699,31.367896,370.8648133,1,3714.171,0.644,2392.704
1,B,fluoro,2,cont,cont,cont,4384.211,0.69,3024.83,258.392859,NA,2,3460.494,0.631,2183.833
1,B,fluoro,3,cont,cont,cont,4348.365,0.82,3566.652,822.833685,NA,3,4003.695,0.631,2527.125
1,B,PBS,1,cont,cont,cont,4309.762,0.748,3224.739,121.71036,882.2256147,1,5294.142,0.72,3814.126
1,B,PBS,2,cont,cont,cont,6675.582,0.879,5865.606,1079.213706,NA,2,5784.953,0.717,4147.767
1,B,PBS,3,cont,cont,cont,5054.251,1.008,5094.922,1445.752778,NA,3,3976.121,0.722,2870.417
1,110,immuno,1,cont,cont,cont,5602.967,2.201,12333.696,2707.798694,3144.730881,1,4169.137,1.718,7160.878
1,110,immuno,2,cont,cont,cont,7334.592,2.223,16304.302,3952.849072,NA,2,4800.573,1.684,8084.595
1,110,immuno,3,cont,cont,cont,6033.116,2.099,12661.822,2773.544876,NA,3,4389.726,1.639,7196.724
1,110,fluoro,1,cont,cont,cont,2467.842,2.241,5530.586,2739.456698,4183.266736,1,3228.875,1.131,3650.752
1,110,fluoro,2,cont,cont,cont,3634.208,2.4,8721.547,4669.40508,NA,2,4284.946,1.115,4779.204
1,110,fluoro,3,cont,cont,cont,4677.87,2.21,10338.052,5140.93843,NA,3,3964.402,1.111,4402.823
1,110,PBS,1,cont,cont,cont,4955.675,7.958,39435.841,33578.23315,25601.75385,1,5086.65,1.182,6013.125
1,110,PBS,2,cont,cont,cont,8929.728,5.454,48699.21,38063.90395,NA,2,3252.313,1.191,3872.03
1,110,PBS,3,cont,cont,cont,7998.428,3.666,29318.377,5163.12444,NA,3,3829.981,3.02,11567.837
1,110,immuno,1,cont,cont,cont,5602.967,2.201,12333.696,2707.798694,3144.730881,1,4169.137,1.718,7160.878
1,110,immuno,2,cont,cont,cont,7334.592,2.223,16304.302,3952.849072,NA,2,4800.573,1.684,8084.595
1,110,immuno,3,cont,cont,cont,6033.116,2.099,12661.822,2773.544876,NA,3,4389.726,1.639,7196.724
1,110,fluoro,1,cont,cont,cont,2467.842,2.241,5530.586,2739.456698,4183.266736,1,3228.875,1.131,3650.752
1,110,fluoro,2,cont,cont,cont,3634.208,2.4,8721.547,4669.40508,NA,2,4284.946,1.115,4779.204
1,110,fluoro,3,cont,cont,cont,4677.87,2.21,10338.052,5140.93843,NA,3,3964.402,1.111,4402.823
1,110,PBS,1,cont,cont,cont,4955.675,7.958,39435.841,33578.23315,25601.75385,1,5086.65,1.182,6013.125
1,110,PBS,2,cont,cont,cont,8929.728,5.454,48699.21,38063.90395,NA,2,3252.313,1.191,3872.03
1,110,PBS,3,cont,cont,cont,7998.428,3.666,29318.377,5163.12444,NA,3,3829.981,3.02,11567.837
3,110,fluoro,1,cont,cont,cont,7665.476,1.533,11749.134,204.927144,4159.325283,1,9364.013,1.506,14106.682
3,110,fluoro,2,cont,cont,cont,9055.188,0.991,8972.467,3086.5948,NA,2,8459.597,0.65,5500.944
3,110,fluoro,3,cont,cont,cont,9193.056,1.41,12959.618,9186.453904,NA,3,6656.28,2.409,16036.837
3,110,immuno,1,cont,cont,cont,9011.07,1.182,10648.945,1971.28459,3449.228947,1,14159.072,0.963,13629.657
3,110,immuno,2,cont,cont,cont,15810.733,1.219,19271.227,6986.287459,NA,2,11341.044,0.777,8815.297
3,110,immuno,3,cont,cont,cont,10792.328,1.34,14459.624,1390.114792,NA,3,7290.474,1.211,8826.327
3,B,fluoro,1,cont,cont,cont,14881.501,0.345,5134.214,59.429849,1605.680113,1,10941.226,0.349,3821.709
3,B,fluoro,2,cont,cont,cont,13883.335,0.366,5079.067,2705.016715,NA,2,8360.332,0.171,1428.315
3,B,fluoro,3,cont,cont,cont,11812.554,0.257,3038.617,2052.593774,NA,3,4659.948,0.431,2007.362
3,B,immuno,1,cont,cont,cont,16478.016,0.321,5296.899,107.890248,3625.91082,1,16544.193,0.328,5420.98
3,B,immuno,2,cont,cont,cont,19020.307,0.374,7122.275,3280.172986,NA,2,9275.777,0.202,1869.494
3,B,immuno,3,cont,cont,cont,13673.775,0.749,10238.098,7489.669225,NA,3,14525.801,0.201,2925.565
4,110,immuno,1,cont,cont,cont,7665.476,0.46,3529.428,3414.44586,9011.319213,1,10216.039,0.015,151.655
4,110,immuno,2,cont,cont,cont,10428.356,0.893,9314.38,9157.95466,NA,2,13122.302,0.015,193.016
4,110,immuno,3,cont,cont,cont,10508.32,1.385,14556.132,14461.55712,NA,3,9716.956,0.009,82.721
4,110,fluoro,1,cont,cont,cont,6904.443,0.173,1191.182,956.430938,1967.020151,1,5873.188,0.034,201.288
4,110,fluoro,2,cont,cont,cont,5324.473,0.459,2443.026,2379.132324,NA,2,9716.956,0.012,118.567
4,110,fluoro,3,cont,cont,cont,7020.252,0.769,5401.679,2565.497192,NA,3,7202.239,0.404,2911.778
4,B,fluoro,1,cont,cont,cont,5084.582,0.186,945.776,650.870244,6554.636368,1,10491.776,0.058,603.863
4,B,fluoro,2,cont,cont,cont,11316.228,0.923,10450.415,9839.338688,NA,2,6739.001,0.054,361.215
4,B,fluoro,3,cont,cont,cont,9568.058,1.025,9805.192,9173.700172,NA,3,6457.75,0.066,424.634
4,B,immuno,1,cont,cont,cont,5961.424,0.234,1392.47,1344.778608,9142.698557,1,9766.588,0.008,82.721
4,B,immuno,2,cont,cont,cont,7334.592,0.716,5252.781,5164.765896,NA,2,11012.918,0.012,132.354
4,B,immuno,3,cont,cont,cont,10861.262,1.933,20994.58,20918.55117,NA,3,9601.146,0.007,66.177
1,B,immuno,1,2,no yeast,no yeast,4897.081,6.603,32335.623,406.65488,205.6396053,1,4949.471,6.52,32269.447
1,B,immuno,2,2,no yeast,no yeast,7386.982,6.532,48253.893,39.061486,NA,2,9457.763,6.527,61729.138
1,B,immuno,3,2,no yeast,no yeast,3438.435,6.58,22624.183,171.20245,NA,3,5084.582,6.53,33201.436
1,110,immuno,1,1,no yeast,no yeast,8958.68,33.502,300136.459,240176.0138,195139.3827,1,4897.081,6.693,32776.802
1,110,immuno,2,1,no yeast,no yeast,5434.767,39.355,213883.314,177492.1142,NA,2,2977.955,6.696,19941.266
1,110,immuno,3,1,no yeast,no yeast,4982.559,40.486,201726.09,167750.0202,NA,3,5448.554,6.819,37152.741
1,110,fluoro,1,1,no yeast,no yeast,7632.387,10.352,79006.789,27900.32565,16777.94168,1,6683.854,6.696,44754.797
1,110,fluoro,2,1,no yeast,no yeast,9716.955,8.911,86584.029,21606.75092,NA,2,6970.62,6.687,46610.504
1,110,fluoro,3,1,no yeast,no yeast,6319.881,7.135,45091.195,826.748476,NA,3,5316.2,7.004,37235.461
1,110,immuno,1,2,no yeast,no yeast,9000.04,14.305,128746.902,71965.64964,32096.51601,1,5401.679,6.309,34081.036
1,110,immuno,2,2,no yeast,no yeast,4875.022,7.999,38994.661,8901.150194,NA,2,5853.887,6.173,36138.03
1,110,immuno,3,2,no yeast,no yeast,5961.424,8.721,51990.123,15422.74818,NA,3,4210.497,6.134,25825.484
1,110,fluoro,1,2,no yeast,no yeast,6747.273,8.783,59261.296,17144.81793,37072.71588,1,5183.847,6.242,32357.682
1,110,fluoro,2,2,no yeast,no yeast,7028.524,11.853,83308.279,39337.83286,NA,2,8440.295,6.256,52806.304
1,110,fluoro,3,2,no yeast,no yeast,6962.347,14.116,98278.015,54735.49686,NA,3,6617.677,6.254,41385.296
1,B,fluoro,1,1,no yeast,no yeast,6319.881,6.734,42557.177,150.77549,426.8965267,1,5023.92,6.71,33708.791
1,B,fluoro,2,1,no yeast,no yeast,4017.481,6.858,27551.594,843.380312,NA,2,8159.044,6.648,54242.891
1,B,fluoro,3,1,no yeast,no yeast,4670.977,6.747,31516.686,286.533778,NA,3,6454.992,6.686,43155.525
1,B,fluoro,1,2,no yeast,no yeast,5459.583,7.228,39463.413,6192.714198,3987.125237,1,5922.821,6.094,36093.912
1,B,fluoro,2,2,no yeast,no yeast,3587.332,7.245,25990.926,4309.091392,NA,2,5853.887,6.044,35382.512
1,B,fluoro,3,2,no yeast,no yeast,4102.96,6.384,26192.213,1459.57012,NA,3,6397.088,6.028,38558.997
2,110,fluoro,1,1,no yeast,no yeast,9896.185,1.467,14514.772,3599.279945,5288.409076,1,10400.782,1.103,11467.883
2,110,fluoro,2,1,no yeast,no yeast,7659.961,2.29,17542.359,9307.900925,NA,2,7152.606,1.075,7690.292
2,110,fluoro,3,1,no yeast,no yeast,7555.181,1.495,11291.411,2958.046357,NA,3,11225.235,1.103,12383.328
2,110,immuno,1,1,no yeast,no yeast,6962.348,6.445,44873.365,37347.06681,42618.09736,1,10158.134,1.081,10979.829
2,110,immuno,2,1,no yeast,no yeast,4949.471,8.385,41501.107,35754.77117,NA,2,6452.235,1.161,7491.762
2,110,immuno,3,1,no yeast,no yeast,6678.339,9.299,62098.627,54752.4541,NA,3,8332.758,1.1,9165.483
2,110,fluoro,1,2,no yeast,no yeast,9209.601,11.73,108030.821,93645.42424,253914.7803,1,7411.798,1.562,11578.177
2,110,fluoro,2,2,no yeast,no yeast,10213.282,27.858,284518.753,263744.9374,NA,2,8572.649,2.034,17440.336
2,110,fluoro,3,2,no yeast,no yeast,8420.994,7.632,64265.916,404353.9791,NA,3,6554.258,55.649,364738.786
2,110,immuno,1,2,no yeast,no yeast,10855.748,11.785,127933.484,115764.1905,105069.9935,1,11580.935,1.121,12987.191
2,110,immuno,2,2,no yeast,no yeast,8757.393,21.553,188744.422,179172.5915,NA,2,8156.287,1.093,8911.805
2,110,immuno,3,2,no yeast,no yeast,7913.639,3.688,29183.956,20273.19849,NA,3,13329.105,1.126,15008.34
2,B,fluoro,1,1,no yeast,no yeast,8084.595,7.64,61767.743,51298.19248,41064.61972,1,21430.244,1.295,27752.883
2,B,fluoro,2,1,no yeast,no yeast,6501.868,10.21,66383.573,52066.45966,NA,2,9416.403,2.202,20738.145
2,B,fluoro,3,1,no yeast,no yeast,8713.275,3.105,27052.512,19829.20703,NA,3,6915.473,0.829,5732.563
2,B,immuno,1,1,no yeast,no yeast,8831.842,51.09,451218.039,440054.5907,278386.2756,1,12667.337,1.264,16012.021
2,B,immuno,2,1,no yeast,no yeast,10011.994,21.043,210682.021,196034.4738,NA,2,12044.172,1.463,17619.565
2,B,immuno,3,1,no yeast,no yeast,9352.984,22.364,209170.985,199069.7623,NA,3,7494.519,1.08,8092.868
2,110,fluoro,1,1,no yeast,no yeast,6962.348,1.507,10491.776,2784.456764,4928.049089,1,11167.33,1.107,12361.269
2,110,fluoro,2,1,no yeast,no yeast,8382.391,2.144,17972.508,8869.231374,NA,2,11625.053,1.086,12625.976
2,110,fluoro,3,1,no yeast,no yeast,8239.008,1.489,12267.519,3130.459128,NA,3,10489.018,1.109,11636.082
2,110,immuno,1,1,no yeast,no yeast,7880.55,6.354,50076.514,41463.07285,46879.92433,1,10770.269,1.093,11771.193
2,110,immuno,2,1,no yeast,no yeast,6920.987,8.292,57391.804,49806.40225,NA,2,8528.531,1.096,9347.469
2,110,immuno,3,1,no yeast,no yeast,5977.968,9.349,55886.283,49370.29788,NA,3,9352.984,1.09,10191.223
2,110,fluoro,1,2,no yeast,no yeast,9617.691,10.903,104859.85,89615.80977,240490.9198,1,6672.824,1.585,10577.254
2,110,fluoro,2,2,no yeast,no yeast,8189.375,26.926,220506.515,202825.6544,NA,2,8183.861,2.159,17669.198
2,110,fluoro,3,2,no yeast,no yeast,8569.892,6.267,53710.721,429031.2954,NA,3,5553.334,56.33,312820.352
2,110,immuno,1,2,no yeast,no yeast,8729.819,11.947,104294.591,94508.4639,92527.21173,1,11944.907,1.121,13389.767
2,110,immuno,2,2,no yeast,no yeast,6319.882,20.512,129634.779,122708.1883,NA,2,7290.474,1.096,7988.088
2,110,immuno,3,2,no yeast,no yeast,6628.707,10.24,67875.308,60364.98297,NA,3,9810.706,1.133,11114.94
3,110,fluoro,1,1,no yeast,no yeast,13025.794,7.634,99444.385,83266.34885,81632.1573,1,8647.098,1.242,10739.938
3,110,fluoro,2,1,no yeast,no yeast,12110.349,7.857,95156.681,79958.19301,NA,2,6088.263,1.255,7637.902
3,110,fluoro,3,1,no yeast,no yeast,14354.844,8.498,121980.332,81671.93005,NA,3,7373.195,2.808,20702.3
3,110,fluoro,1,2,no yeast,no yeast,8572.649,1.563,13398.039,1199.159473,2914.874788,1,9766.588,1.423,13899.879
3,110,fluoro,2,2,no yeast,no yeast,7378.71,3.511,25908.206,4111.49666,NA,2,12438.476,2.954,36739.137
3,110,fluoro,3,2,no yeast,no yeast,7047.826,1.632,11503.729,3433.96823,NA,3,11387.919,1.145,13036.824
3,B,fluoro,1,1,no yeast,no yeast,12573.586,1.475,18546.04,71430.54142,34812.11988,1,3934.76,7.156,28158.216
3,B,fluoro,2,1,no yeast,no yeast,13091.971,3.11,40712.501,29898.53295,NA,2,7808.859,0.826,6449.478
3,B,fluoro,3,1,no yeast,no yeast,19720.678,4.106,80964.522,3107.285256,NA,3,3170.97,3.948,12518.439
3,B,fluoro,1,2,no yeast,no yeast,14729.846,35.865,528280.888,513889.8285,477178.1222,1,10626.886,0.977,10384.238
3,B,fluoro,2,2,no yeast,no yeast,12273.034,55.478,680887.278,665018.245,NA,2,10130.561,1.293,13100.243
3,B,fluoro,3,2,no yeast,no yeast,11070.822,23.971,265379.88,252626.2931,NA,3,7114.003,1.152,8194.89
3,B,immuno,1,2,no yeast,no yeast,10158.134,10.963,111361.718,99578.28256,210573.5282,1,11909.061,1.16,13817.158
3,B,immuno,2,2,no yeast,no yeast,9959.604,31.193,310669.607,300799.6394,NA,2,13403.553,0.991,13282.229
3,B,immuno,3,2,no yeast,no yeast,17222.505,14.531,250252.973,231342.6625,NA,3,5106.641,1.098,5608.481
4,110,fluoro,1,2,no yeast,no yeast,13323.59,0.683,9093.791,7881.34431,17234.38187,1,8729.819,0.091,794.121
4,110,fluoro,2,2,no yeast,no yeast,9959.604,3.325,33115.959,14860.00487,NA,2,7152.606,1.833,13114.03
4,110,fluoro,3,2,no yeast,no yeast,7406.284,0.595,4403.513,28961.79642,NA,3,7850.219,4.505,35368.727
4,B,fluoro,1,2,no yeast,no yeast,12678.366,6.197,78565.614,47300.76344,58709.60272,1,5255.539,2.466,12962.375
4,B,fluoro,2,2,no yeast,no yeast,10152.62,5.96,60507.627,54294.22356,NA,2,10830.931,0.612,6628.707
4,B,fluoro,3,2,no yeast,no yeast,10629.644,7.99,84929.613,74533.82117,NA,3,7199.481,0.978,7039.554
1,B,immuno,1,2,mount,positive,2900.748,74.734,216784.071,212984.0911,183903.2271,1,4006.452,1.31,5247.266
1,B,immuno,2,2,mount,positive,3121.338,48.811,152355.47,148975.0609,NA,2,3380.53,1.083,3661.781
1,B,immuno,3,2,mount,positive,3482.553,55.726,194068.895,189750.5293,NA,3,5101.126,1.24,6325.396
1,B,fluoro,1,2,mount,positive,2084.568,74.146,154563.431,142229.0421,98091.71171,1,3867.205,5.917,22883.376
1,B,fluoro,2,2,mount,positive,3398.453,25.979,88287.395,84783.58996,NA,2,3079.977,1.031,3176.485
1,B,fluoro,3,2,mount,positive,3252.313,28.518,92750.88,67262.50302,NA,3,2755.987,7.837,21597.754
1,B,PBS,1,2,mount,positive,3865.826,19.932,77051.82,74171.77963,36771.15967,1,4786.097,0.745,3568.031
1,B,PBS,2,2,mount,positive,3714.171,8.604,31958.555,29265.78103,NA,2,4043.676,0.725,2932.458
1,B,PBS,3,2,mount,positive,2280.341,3.75,8551.969,6875.918365,NA,3,2798.726,0.735,2056.995
1,110,immuno,1,1,mount,positive,3606.634,78.005,281333.996,275581.4148,253865.9304,1,5227.965,1.595,8338.273
1,110,immuno,2,1,mount,positive,4389.726,54.487,239182.151,232180.538,NA,2,4014.724,1.595,6405.36
1,110,immuno,3,1,mount,positive,3449.464,75.207,259423.97,253835.8383,NA,3,5525.76,1.62,8953.166
1,110,fluoro,1,1,mount,positive,3631.45,19.271,69980.556,66447.15515,167275.2919,1,2616.74,0.973,2547.116
1,110,fluoro,2,1,mount,positive,4105.717,60.714,249273.419,245225.182,NA,2,2903.506,0.986,2864.213
1,110,fluoro,3,1,mount,positive,4574.469,45.475,208025.989,190153.5386,NA,3,2489.901,3.907,9727.985
1,110,PBS,1,1,mount,positive,4290.461,137.37,589381.349,584614.6468,275172.5804,1,3523.913,1.111,3915.459
1,110,PBS,2,1,mount,positive,7370.438,21.459,158163.861,150380.6785,NA,2,3152.358,1.056,3327.451
1,110,PBS,3,1,mount,positive,4235.313,22.399,94867.847,90522.41586,NA,3,3692.802,1.026,3787.241
1,110,immuno,1,2,mount,positive,5189.362,27.49,142657.127,137223.865,98937.11849,1,3563.205,1.047,3732.094
1,110,immuno,2,2,mount,positive,4733.018,22.543,106696.256,101371.6108,NA,2,3664.539,1.125,4124.329
1,110,immuno,3,2,mount,positive,4926.033,13.856,68255.135,58215.87975,NA,3,2840.086,2.038,5788.399
1,110,fluoro,1,2,mount,positive,5459.584,54.38,296889.673,290938.7264,156674.2235,1,5999.338,1.09,6541.85
1,110,fluoro,2,2,mount,positive,4887.43,16.201,79181.885,70653.31965,NA,2,5148.001,1.745,8983.497
1,110,fluoro,3,2,mount,positive,6257.841,18.417,115251.671,108430.6243,NA,3,7078.157,1.09,7717.866
